salary,company,jobcont,jobname
15000-25000/月,广州市新橙信息科技有限公司,"职位描述：1、规划和设计APP产品前端技术架构；2、负责Android/ios新技术的研究探索和技术积累，进行关键技术的技术验证,解决开发中遇到的技术难点；3、负责APP的性能优化、界面流畅度优化、提高公司产品在不同版本系统上的兼容性降低崩溃率，提升用户体验；4、开发和维护公司统一的软件开发架构，对开发人员进行架构培训和技术支持；5、参与公司技术规范制定工作，负责公司技术平台文档的整理和汇总；6、参与项目管理和系统开发计划的制定；岗位要求：1、本科以上学历，三年以上手机APP开发经验，主导过3个以上个完整的APP研发制作；2、有较强的面向对象编程思想及良好的系统分析设计能力，熟练掌握常用的设计模式;3、精通Android平台或IOS平台，对Android或IOS应用开发框架有全面的了解；4、具有丰富的程序开发经验,精通Java和Objective-C，熟悉C/C++编程, 具备对开源代码进行二次开发的能力;5、精通Android或iOS下多线程机制、HTTP/HTTPS、TCP/IP等网络通信编程技术；6、具有较强的沟通、表达、组织能力和文档书写能力;7、有规范的文档习惯和系统开发习惯，能独自解决整体规划方案，制定技术规范书；8、熟悉Hybrid开发模式，熟悉主流浏览器内核兼容性问题(webkit，blink，x5)及相关开发经验者优先；9、有CouchbaseLite NoSQL数据库性能优化经验者优先；职能类别：网站架构设计师互联网软件开发工程师关键字：java举报分享",APP架构师
25000-29999/月,广州合摩计算机科技有限公司,职位描述：岗位职责：1、负责系统平台核心基础组件的设计和开发；2、参与系统架构、应用架构和数据架构的规划、设计和评审；3、制定接口规范，编写核心代码，推动自动化测试和部署，重构和优化现有技术架构；4、负责关键技术的预研和攻关，提高系统的扩展性、稳定性和安全性；5、指导、处理、协调和解决开发过程中和生产运维中出现的问题；6、参与制定开发规范和流程；7、与产品、研发团队充分沟通协作，配合团队其它成员打造经典，实现完美用户体验；任职资格：1、5年以上Java软件开发和应用架构设计经验，学历或资历好3年以上也可以；2、精通java 开发语言，熟悉主流J2EE框架和开源框架；3、熟悉主流开发框架如：Spring、Hibernate、Ajax、Jquery，Maven等技术；4、熟悉消息中间件(WebSphereMq、ActiveMq、RabbitMq、Kafka一种或多种)的原理及应用;5、深入理解面向对象编程，对SOA、restful思想有较深认识；6、有互联网应用架构设计经验，熟悉高并发、高性能分布式系统设计方法，了解安全性需求解决方案；7、熟悉MySQL，有良好的数据库设计能力和sql编写能力，能独立完成数据库索引，性能调优；8、有团队管理经验者优先；职能类别：系统架构设计师举报分享,架构师
20-30万/年,广州优享网络科技有限公司,"职位描述：岗位职责：1    根据需求,在现有架构下，独立设计子系统，编写系统设计文档，并和团队人员共同完成子系统的开发工作；2    根据要求，组织编写系统的测试用例；3    根据测试结果，可组织快速进行Bug的定位和修复；4    指导团队其它开发人员开发；5    快速解决开发过程中遇到的技术难题；6    根据系统瓶颈，研究新的技术并组织相关的评估和实施工作。任职要求：1    精通Java开发，熟悉JDK 1.7及以上版本的特性2    精通Spring、Hibernate等基本的开源框架，熟悉CXF等SOA框架，有丰富的互联网开发经验和分布式应用开发的经验。3    熟悉数据库开发，可编写高性能的SQL语句，熟悉数据库事务管理，有分布式数据库开发经验。4    熟悉基本的J2EE项目管理工具，会使用SVN、Maven等管理工具、熟悉Junit测试框架，能够编写测试用例5    熟悉Memcached、Redis等缓存组件，有相关开发经验。6    熟悉消息系统等异步处理方式，有大并发访问的处理经验。7    了解大数据存储和计算的相关技术和框架。职能类别：高级软件工程师关键字：javajava开发java工程师SSHMVC软件工程师举报分享",中高级java工程师/java架构师
15000-30000/月,广州家庭医生在线移动新媒体科技有...,职位描述：岗位职责：1 承担APP（IOS/Android）后端、后台系统架构架设工作，负责服务端系统重构，优化，拓展系统功能，攻克技术难点2 主导APP服务端的功能模块的设计，系统核心算法的设计以及对外接口的设计，打造高性能，高稳定性的APP后端系统3 主导APP接口开发工作，分配与管理APP后端团队的开发工作4 研究竞品的技术方案，了解和规划行业服务的内容和发展方向任职资格：1 大专以上学历，有大数据APP后端开发工作经验，能独立搭建APP服务端架构；2 精通MySQL，熟悉SQL Server，对数据库访问优化，事务性、安全、加密机制有经验；3  精通常用http服务端，常用java web框架，缓存机制。熟悉全文搜索；4 精通面向对象分析与设计技术，对设计模式理解透彻，对模块划分有清晰的思路和合理的设计方案；5 对Web服务后台的安全性，负载均衡有丰富经验，熟悉如何进行数据备份与恢复；6 对开源后台框架以及大数据架构有所了解；7工作态度认真，思维严谨，爱岗敬业，沟通和表达能力强。职能类别：系统架构设计师关键字：后台架构师javaMySQL服务端后端springMVCmybatis举报分享,系统架构师
15000-19999/月,水晶球教育信息技术有限公司,"职位描述：岗位职责：1、负责研发中心各类产品和项目的系统架构设计，搭建；2、负责研发中心各产品和项目的架构相关技术指导和技术支持工作；3、负责跟踪和学习掌握软件架构相关的各类前沿技术，定期对研发人员进行相关的技术培训；4、负责与架构相关的技术难题的攻关；5、负责公司整个产品线和软件项目的各类基础工具集和技术框架的设计和搭建；6、处理技术总监安排的与软件架构相关的其它工作。岗位要求：1、10年以上软件开发和设计工作，5年以上系统架构设计工作经验；2、有云平台，数据总线设计搭建经验；3、熟练掌握一种以上软件设计工具；4、有5年以上JAVA开发经验；5、熟悉一种以上关系模型数据库，精通Mysql或Oracle,熟悉各类最新的NOSQL类产品及工具者优先；6、具备良好的沟通与学习能力，态度积极主动。职能类别：系统架构设计师高级软件工程师关键字：系统架构师系统架构设计B/SC/Sjava软件架构举报分享",系统架构师
10000-14999/月,浙江蓝源投资管理有限公司,职位描述：岗位职责：1、负责系统架构的分析与设计，能根据发展对技术架构不断调整；2、负责制定/优化开发规范，统一各产品线之间交换数据的方式方法；3、负责优化开发框架以及设计一些公共组件；4、负责解决或者指导各个项目组解决开发过程中的技术难题；5、有优秀的学习能力，能快速的掌握各种新知识。并能积极的分享知识带动团队成长。任职要求：1、5年以上使用Java web方向开发的经验；2、有扎实的Java基础，Java多线程、并发以及网络通信有深厚的经验；3、精通Java EE相关技术和框架(spring3/ibatis/等)，熟悉并掌握常用设计模式；4、深入理解HTTP协议5、熟悉NoSql，熟悉缓存机制。6、熟悉网站优化，服务器优化，集群技术处理、网站负载均衡、系统性能调优、网站安全，熟悉Linux，Tomcat、Nginx、Varnish优先考虑7、良好的逻辑思维能力，熟悉业务抽象和数据模型设计，具有很强的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；8、良好的团队协作和沟通能力，熟悉Agile/Scrum开发流程优先考虑。职能类别：系统架构设计师系统工程师关键字：架构师举报分享,技术架构师
10000-14999/月,广州迅云教育科技有限公司,职位描述：岗位职责1、负责公司技术系统总架构（网站、平台、数据库、接口和应用架构、客户端软件等）设计与实现；2、对技术架构的先进性、稳定性、安全性、扩展性、经济性负责；3、解决开发部署中各种系统架构问题，开展新技术、新产品技术预研，协助技术总监制定技术路线；4、解决项目中的关键问题和技术难题，对系统和开发团队进行技术指导和培训；5、技术系统优化，撰写各种重要技术文档；6、完成经理安排的相关开发任务。任职资格1、3年以上JAVA项目开发经验，两年以上架构设计经验；2、扎实的java基础，有j2EE设计经验，深刻理解面向对象设计和开发；3、精通springmvc、spring、mybatis等常用开发框架；4、熟练掌握JUnit等单元测试工具；5、熟练webservice技术。hessian，dubbo等框架技术，熟悉maven；6、精通MySQL数据库，具有数据库规划能力，有实际sql调优经验优先；7、精通Tomcat、Jboss等Web服务器的部署与配置；8、具备快速分析、定位、解决问题的能力，具有系统调优方面的实际经验；9、有丰富的电商经验优先，有分布式系统架构设计经验优先；10、熟悉Linux环境下基于Java语言的分布式、多线程及高性能的设计与编码及性能调优；11、有Hadoop，Mapreduce，HBase，Hive，Thrift，RabbitMQ，nosql数据库等技术经验优先；12、有IM技术架构工作经验者优先；13、有搜索引擎技术架构工作经验者优先；14、对新技术有非常强的兴趣；15、能够承受较强的工作压力和强度，高效率的团队合作，有极强的工作责任心。职能类别：系统架构设计师举报分享,JAVA架构师
30000-39999/月,广东一一五科技股份有限公司广州分...,职位描述：【工作职责】负责115、115+服务端系统架构设计与研发。【任职要求】1. 计算机相关专业，大学本科及以上学历，3年以上大型网站架构设计工作经验；2. 精通Linux/FreeBSD操作系统，精通Linux C/C++服务端编程；3. 熟悉Nginx安装配置与优化，熟悉Nginx Module开发；4. 熟悉MySQL、Memcached、Redis等数据库；5. 精通HTTP/HTTPS协议，熟悉Protocol Buffer、Thrift；6. 熟悉分布式系统架构设计，熟悉Paxos、Raft等一致性算法；7. 具备一定的沟通能力与技术文档撰写能力。职能类别：系统架构设计师关键字：网站架构系统架构架构服务端分布式算法Linux举报分享,高级系统架构师
8000-20000/月,鸿达兴业股份有限公司,职位描述：【岗位职责】1、进行技术调研、选型、分析等，负责制定项目的技术架构；2、负责基于java架构的系统技术框架设计、核心代码开发，对软件开发团队的技术指导，解决开发过程中的技术难点，带领研发团队完成产品研发；3、对现有成熟java开发框架进行技术改进，解决其共性问题，并能针对公司平台项目的个性化需求给出对应解决方案，提高开发效率；4、配合项目经理进行技术决策及技术风险评估；5、负责相关技术文档的编写；6、领导安排的其他相关工作。【任职要求】1、 7年以上软件行业工作经验，具有独立承担超过3年以上的软件项目系统分析和架构设计经验，有互联网金融、电子商务平台成功的案例、大型系统软件架构设计经验优先；2、 精通J2EE架构技术，精通B/S系统开发，精通面向对象分析和设计技术，深入理解Struts、 Hibernate、MyBatis、Spring、Ajax、Webservice、JBPM、JMS、JMX、AOP、Junit等框架和技 术的设计思想和实现方式，熟悉OOA、OOD、UML，能熟练使用Viso、Rose、ERWin等工具 进行软件和数据库建模，良好的模型抽象能力、沟通能力和技术文档撰写能力；3、 熟悉ajax等前端展现技术，精通主流JS框架至少一种jquery/dojo/extjs等（可选）；4、 熟练掌握Oracle、SQL Server、Mysql等一种或多种数据库的分析和设计，熟练掌握SQL语句；5、 熟练掌握WEBLOGIC， WEBSPHERE ，Tomcat等应用中间件的安装、部署、配置，熟悉Nginx的使用与配置；6、 熟悉Linux负载均衡及高可用集群、存储、服务器调优、网络安全、数据库高可用设计及性能评估机，；7、 热爱技术研发工作，勇于创新，善于钻研和克服技术难点。员工福利待遇：上班时间：周一至周五，8小时/天工作制，周末双休、法定节假日；薪酬绩效：富有竞争力的薪酬体系，职能部门有年中、年末公司业绩分红等福利。根据员工自身表现，每年不少于1次提薪机会。培训机会：具有完善的培训体系，新员工入职后可享受带薪培训。为员工提供全方位的内外训学习机会；职业发展：公司处于高速发展期，为优秀员工提供广阔的发展空间；五险一金：依法为员工缴纳养老保险、医疗保险、工伤保险、失业保险及生育保险和住房公积金。员工活动：公司不定期组织主题活动、员工主题生日会、拓展活动、年度旅游等活动；其他津贴：凡节假日礼品派发等；年假：劳动者连续工作一年以上的，享受带薪年休假。广州员工享受上下班专车接送：在广州工作的员工在指定的地方，免费提供班车上下班接送。班车途中经过以下地方：金宇花园、保利花园、大塘、员村山顶、宝岗大道等等我司详细地址：广州市荔湾区广州圆路1号广州圆大厦（广州新地标）联系信息：联系人：吴先生联系电话：020-81492222-8719E-mail：hdxy_hr@gdpe.cn温馨提示：简历投递请填写邮件名称：姓名+前程+岗位名称职能类别：系统架构设计师举报分享,JAVA系统架构师
10000-20000/月,广州大象健康科技有限公司,职位描述：岗位职责：1、使用ASP.Net（C#）进行网站的前台设计制作和后台开发;2、负责公司项目网站、App服务端的开发以及需求的整理；3、相关文档的编写，包括需求、设计、使用手册等;4、负责公司网站服务端开发、维护、更新；有电商、社交网站开发经验优先;5、负责在Windows Server 2008，IIS的网站发布、配置和维护;任职要求：1、熟练掌握.NET平台上的开发技术，2年以上程序开发经验；2. 熟练使用C#语言基础、了解MVC框架、了解WCF架构等.net技术体系；3. 熟练掌握SQL语句、存储过程、熟悉SQLServer2008数据库开发；4. 对面向对象、面向服务、软件系统架构有概念性的理解，有较强的逻辑能力和较高的工作效率；5. 具有良好的沟通力和团队合作精神；6. 熟练应用VS2015、SQL2008R2、TFS等微软体系开发工具.职能类别：系统架构设计师关键字：.netc#架构师互联网移动互联网运动社交举报分享,.net系统架构师
15000-22000/月,广东掏掏汽配科技股份有限公司,职位描述：岗位职责：1、与外包团队进行技术对接，主导技术方案评审、架构等各类设计评审、代码Review；2、负责平台项目技术架构工作；3、根据产品需求完成技术方案设计；4、根据技术方案完成核心模块代码开发；5、培养及指导初中级开发人员完成模块开发工作；6、完成技术调研及储备工作；7、该岗位上班地点在公司的IT研发中心：科韵路天河软件园建工路9号218室。任职资格：1、本科以上学历，计算机相关专业毕业；2、至少4年（大专5年）以上软件开发经验；3、熟悉Java技术体系，具备良好的技术基础；4、熟悉SSH、Spring MVC、Jquery、Ajax等开源框架中的一种或几种，熟悉JS，了解H5、CSS3等前端开发技术；5、具备良好的面向对象编程思想，有敏捷开发经验，有一定系统架构设计经验；6、熟悉Linux命令，可独立完成系统部署及基础运维管理，能够根据实际需要快速编写shell脚本；7、熟悉Apache、Tomcat、Jboss、Weblogic及Websphere等应用服务器中的一种或几种；8、熟悉Oracle、MySQL、NoSQL数据库的应用开发；9、具备良好的团队合作精神，积极向上，良好的沟通能力，工作认真负责、严谨敬业，对系统质量有较高的要求意识；10、有大型互联网（电商）平台项目开发经验者优先。职能类别：高级软件工程师系统架构设计师关键字：JAVA架构师高级开发高级开发软件工程师软件开发举报分享,高级Java软件工程师（架构师）
15000-20000/月,广州票量商务服务有限公司,职位描述：1. 负责公司官网的网站整体规划、结构设计、设计制作、后台建设、改版和日常维护；2. 负责公司手机网站的建设：架构规划、设计、部署和优化；3. 负责公司后台服务端程序和数据库的开发与维护；4. 负责服务器环境的搭建、配置和管理；5. 负责网站的网络安全，能及时处理网站突发的异常情况，保证网站安全、稳定、快速运行；6. 负责产品的测试及优化，改善用户体验。岗位要求：1.服务器架构以及大容量高负载网站开发维护经验优先；2. 熟练掌握PHP、HTML、XML、CSS+DIV、JavaScript，Jquery、Ajax等主流开发技术；3.熟练使用至少一种数据库（Sql Server、Oracle、Mysql、DB2等）；精通数据库设计和开发，具有大数据以及高并发的系统数据库设计经验；对Memcached及NOSql有一定了解；4.熟悉多种应用服务器，精通网络编程，熟悉中间件技术；5.有系统性能优化与评估的实际经验，能用工具对系统的代码进行评估；6.有良好的沟通能力和较强的团队管理能力者优先。职能类别：网站架构设计师举报分享,网站架构师
