salary,company,jobdescriptionlink,jobname,jobdescription,location
6000-7999/月,广州凡拓数字创意科技股份有限公司,http://jobs.51job.com/guangzhou/77516411.html?s=0,python开发工程师,职位描述：岗位职责：1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；2、根据开发需求，完成开发文档，提出模块设计规划；3、根据开发文档，制定详细的开发计划。任职要求：1、大专及以上学历，计算机相关专业，1年以上python开发经验；2、熟练使用python的web框架设计网站，例如diango等；3、熟悉linux操作系统，了解linux下shell编程，熟练使用git；4、熟悉主流web服务器的配置管理与性能优化；5、熟练使用mysql、redis等数据库，精通SQL，具备SQL开发经验；6、独立完成工作，能够承受工作压力。职能类别：软件工程师举报分享,广州
6000-7999/月,艾美美容中心,http://jobs.51job.com/guangzhou/70714557.html?s=0,python开发工程师,职位描述：岗位职责：1.参与内部业务系统的开发与维护2.编写相应的技术开发文档3.进行源代码的单元测试和质量控制任职要求：1. 熟悉python，1年以上的项目开发经验（优秀应届毕业生可考虑）2. 熟悉Linux操作系统，了解 Git、SVN等代码管理工具3. 熟悉postgresql、MySQL数据库5. 良好的编码习惯，对服务器架构有一定了解，具备良好的分析解决问题能力6. 具有良好的学习能力以及理解、分析和解决问题的能力，乐于分享，具有团队协作精神7. 熟悉Ｏdoo开发者，优先考虑8. 计算机相关专业大专或以上学历其它要求1. 粤语交流能力2. 对编程有很大的热情职能类别：ERP技术开发关键字：python开发工程师举报分享,广州
8000-15000/月,广州昊动网络科技有限公司,http://jobs.51job.com/guangzhou-thq/76797629.html?s=0,Python工程师,"职位描述：工作职责：1、负责App后端接口的功能设计、开发和优化；2、完成数据统计与分析的工作；3、按照项目计划，完成开发任务。岗位要求:1、1-2年以上的Python开发经验；2.至少熟悉一种Python Web框架，如Django、Tornado、Flask等；3.熟悉 MySQL，有 MongoDB开发经验者优先；4.熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验者优先；5.有除 Python 外，任一主流语言开发经验（C/C++/C#/Java/PHP)等；6.对数据抓取感兴趣,精通网页数据抓取的同学优先7.能按时完成安排的工作，拥有独立解决问题的能力职能类别：高级软件工程师关键字：pythonapp举报分享",广州-天河区
6000-12000/月,广州游众软件科技有限公司,http://jobs.51job.com/guangzhou-thq/77076941.html?s=0,python服务端,职位描述：岗位职责：1、设计和开发游戏服务端；2、服务端相关辅助工具的开发；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量。任职要求：1、有1年以上服务端开发经验，至少熟悉一类服务端开发语言，C++、Java、Python等；2、有Python开发经验者优先，有PHP开发经验者优先；3、熟悉MySQL数据库，对MySQL优化有一定的经验；4、喜欢编程，追求代码质量，热爱游戏；5、独立完成工作，能承受工作压力；6、良好的沟通能力、学习能力。职能类别：多媒体/游戏开发工程师互联网软件开发工程师关键字：服务端游戏后端C++pythonPHP举报分享,广州-天河区
10000-14999/月,广州爱拍网络科技有限公司,http://jobs.51job.com/guangzhou/74623464.html?s=0,Python/PyQt开发工程师,职位描述：职位描述1.根据需求进行pc客户端的设计、开发和维护；2.验证和修正测试中发现的问题；3.持续的优化升级相关产品的质量、性能、用户体验；4.学习和研究新技术以满足产品的需求；5.撰写模块设计说明书及相关技术文档。任职要求1.本科或以上学历，计算机或相关专业毕业；2.编程基础扎实，精通常用数据结构与算法和设计能力；3.熟练掌握面向对象设计技能，有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；4.熟悉Qt sdk及相关开发工具，2年及以上Python开发经验。5.熟悉网络协议，掌握基本的网络通讯原理。6.有规范开发流程经验，熟悉客户端的完整开发流程。7.具有一定的沟通能力和良好的团队合作精神。8.有社交类移动产品开发经验者优先。职能类别：软件工程师举报分享,广州
4000-7000/月,广州铭岩信息科技有限公司,http://jobs.51job.com/guangzhou-pyq/77159407.html?s=0,Python开发者,职位描述：1、技能要求：掌握Python开发、掌握MySql、掌握HTML、掌握jQuery、掌握CSS、掌握JavaScript2、工作经历要求：有至少6个月工作经验；3、学历要求：最少大专毕业，计算机相关专业优先；4、其它要求：诚实、对从事互联网行业充满兴趣、热爱技术、带人友善5、性别要求：不限职能类别：软件工程师举报分享,广州-番禺区
10000-14999/月,广州游爱网络技术有限公司,http://jobs.51job.com/guangzhou-thq/69290240.html?s=0,python后台开发工程师,"职位描述：岗位职责：1.维护原有游戏后台2.开发后台新功能3.熟悉部署环境，有一定的web运维经验职位要求：1. 1年以上Python开发经验2. 至少熟悉一套Python的web框架(django, web.py, tornado)职能类别：多媒体/游戏开发工程师关键字：pythondjango后台周末双休全勤奖年终双薪人才推荐奖奖金丰厚加班补助包三餐举报分享",广州-天河区
6000-7999/月,广州市维艺信息科技有限公司,http://jobs.51job.com/guangzhou-thq/77541635.html?s=0,Python开发工程师,职位描述：岗位职责：1、负责公司产品功能设计、开发2、负责公司项目部署，运维任职要求：1、熟悉web开发2、熟练mysql、nosql3、有服务器运维经验优先4、tornado框架的使用经验优先5、具有良好的沟通能力、团队合作精神、能承担工作压力职能类别：互联网软件开发工程师关键字：Python开发工程师互联网软件开发软件开发工程师web开发服务器运维举报分享,广州-天河区
100元/天,广州中国科学院计算机网络信息中心,http://jobs.51job.com/guangzhou-nsq/77475471.html?s=0,Python实习生,职位描述：岗位职责：1、根据IP地址，利用网络测试技术进行网络探测和信息抓取；2、对抓取的信息进行结构化存储、处理、分析。任职要求：1、计算机网络技术、网络工程等相关专业，优先考虑在读研究生；2、熟悉网络技术与协议；3、了解数据存储、处理与分析工具与技术；4、有高度的责任心；5、实习生提供住宿，表现优秀者可转正。职能类别：软件工程师举报分享,广州-南沙区
10000-14999/月,北京并行科技股份有限公司,http://jobs.51job.com/beijing-hdq/76711178.html?s=0,python开发工程师（广州）,"职位描述：岗位职责：1、参与基于Django 应用的开发， 根据需求实现后台的业务逻辑和页面展现；2、参与需求的讨论和代码的审核，完成设计相关 文档的编写；3、独立完成功能模块的设计、编码和测试；4、完成bug的跟踪调试和解决。任职要求：1、熟悉Linux操作系统使用和软件开发的基本流程，至少会使用一种软件版本管理工具。2、熟悉Python语言，较强的独立开发能力，具备良好的代码风格，至少1年以上Python开发经验，熟悉Django。3、有前端开发经验（HTML/CSS/JS）,熟悉Jquery等框架的使用。4、能够熟练使用标准的SQL语言，精通MySQL。能够承担较大工作压力，具备良好的沟 通能力和团队协作精神。职能类别：软件工程师举报分享",异地招聘
4500-5999/月,广州市虹联信息技术有限公司,http://jobs.51job.com/guangzhou-thq/75946056.html?s=0,python开发工程师,职位描述：职位描述：1.参与无线方案相关的业务分析和设计2. 参与和协助完成基于Python及相关框架的后台项目开发和维护工作；3. 参与和协助完成使用Python语言为主的各种技术研究性质的工作；4. 参与和协助云平台的构建；5.独立、协作完成重要模块的设计；职位要求：1. 计算机相关专业者优先，良好的英文读写能力；2. 熟悉Python语言编程及常用模块，熟悉 python 中多线程、多进程及网络开发等模块；3. 熟悉Linux开发环境和操作系统；4. 熟悉Linux操作系统原理、HTTP协议、路由交换原理。5. 很好的学习沟通能力，具备较强的独立解决问题的能力和团队协作精神，自我驱动，能够快速掌握新技术并拓展。职能类别：软件工程师关键字：python研发软件开发举报分享,广州-天河区
10000-14999/月,深圳市深信服电子科技有限公司,http://jobs.51job.com/shenzhen-nsq/76095507.html?s=0,python开发,职位描述：(1).1年以上python开发经验，精通python语言；有python调试经验，能掌握远程调试、单步调试者优先考虑。(2).熟悉Linux操作系统、熟练掌握linux性能分析工具或者shell优先；(3).对openstack云平台整体架构及核心组件，如：Nova，Cinder，Glance，Keystone，Neutron，openstack社区代码贡献者优先；(4).具有良好的沟通能力，良好的书面和口头表达能力；(5).思维缜密，逻辑性强，具有挑战精神和前瞻性，良好的团队协作精神，乐于接受和实践新技术。职能类别：高级软件工程师举报分享,异地招聘
6000-7999/月,广州市智慧农业服务有限公司,http://jobs.51job.com/guangzhou-pyq/74253472.html?s=0,Python开发工程师,职位描述：岗位职责：1.负责自动化脚本和数据抓取脚的本开发和维护。2.编写相应的技术开发文档。3.进行源代码的单元测试和质量控制。任职要求：1、本科或以上学历，2年以上互联网应用开发工作经验。2、精通Python，至少1年开发经验。3、有分布式应用开发经验。4、有JAVA优先考虑。优秀的应届毕业生亦可。职能类别：软件工程师互联网软件开发工程师关键字：Python工程师软件举报分享,广州-番禺区
6000-12000/月,PPmoney互联网金融平台,http://jobs.51job.com/guangzhou/75005042.html?s=0,Python工程师,"职位描述：工作职责：根据业务需求，完成大数据的抽取、转换、加载和可视化展示。任职资格：1.计算机、应用数学或统计学等相关专业本科及以上学历；2.1年以上开发和架构设计经验，具有java和python 开发能力；3,具备BI/数据仓库的实际开发经验，熟悉使用kettle进行异构数据库之间数据同步；4.具备海量数据挖掘及分析相关项目经验，了解挖掘算法（例如逻辑回归、决策树、贝叶斯、神经网络等）；5.了解Hadoop、Spark以及各种nosql等大数据工具和方法；6.有强烈的责任感，主动性强，具有良好的团队合作精神和高度的责任心，能在较大压力下工作。职能类别：高级软件工程师举报分享",广州
8000-12000/月,广州点屏信息技术有限公司,http://jobs.51job.com/guangzhou-lgq/75951430.html?s=0,python 开发工程师,职位描述：岗位要求：1、本科以上学历，计算机相关专业毕业，一年以上python开发经验；2、 熟练使用Linux；3、具有扎实的网络知识，并能对服务器进行维护；4、熟悉主流Web服务器与中间件服务器的配置管理与性能优化；5、熟练使用Mysql、Redis等数据库，精通SQL，具有Mysql、Redis开发经验，有数据库大数据量优化经验者***；6、熟悉数据结构。岗位职责：1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；2、 根据开发需求，完成开发文档，提出模块设计的规划；3、 根据开发文档，制定详细的开发计划。职能类别：软件工程师举报分享,广州-萝岗区
6000-10000/月,广州宝巨信息技术有限公司,http://jobs.51job.com/guangzhou/71717870.html?s=0,Python开发工程师,职位描述：岗位职责：1、负责Python相关项目开发；2、参与编写项目设计与开发文档。职位要求：1、2年以上Python开发经验；2、熟悉常用python库，熟悉各种python框架，了解整个python生态环境；3、熟悉MySQL及MongoDB、redis非关系型数据库、了解Linux操作系统、有良好的代码规范、了解GIT；4、熟悉前端开发技术，熟悉JavaScript，并且熟练使用JQuery框架；5、对缓存有深刻理解，有丰富的MemCache使用经验者优先；6、对OOP、MVC开发方式有深入理解。职能类别：软件工程师互联网软件开发工程师关键字：Python开发工程师Python开发工程师工程师举报分享,广州
10000-15000/月,广州酷狗计算机科技有限公司,http://jobs.51job.com/guangzhou/71018516.html?s=0,python开发工程师（创新项目）,"职位描述：岗位职责：1、使用python语言进行产品服务端的开发以及维护工作；2、协助测试团队验证与修复系统中的缺陷；3、学习与研究新技术以满足新产品的要求。任职要求：1、大学以上学历，具有2年以上 python 开发工作经验；2、能够熟练操作Linux系统,了解Linux下Nginx、mysql的相关优化和原理；3、熟悉memcached,redis，ssdb等缓存特性；4、熟悉 fdfs / tfs 等文件系统；5、具有一定的抗压能力和一定的英文文档阅读能力,能够编写相关的接口文档；6、能够熟练使用SVN进行项目版本控制,有团队协作经验；7、有流媒体协议 或 熟悉使用 ffmpeg 开发经验者优先；8、有flask开发经验者优先；9、有opensips网络电话，网络穿透等开发经验者优先。职能类别：互联网软件开发工程师手机应用开发工程师举报分享",广州
8000-13000/月,广州商脉网络科技有限公司,http://jobs.51job.com/guangzhou/75197573.html?s=0,Python开发工程师,职位描述：岗位职责:根据客户项目需求进行开发工作岗位要求:1、大专以上学历，计算机专业毕业；2、1年以上Python开发经验；3、熟悉Django、bootstrap等框架；4、熟悉Web开发常用技术；职能类别：软件工程师举报分享,广州
8-12/月,广州市两棵树网络科技有限公司,http://jobs.51job.com/guangzhou/77534337.html?s=0,python工程师,职位描述：岗位职责：1、根据公司发展要求，进行Web项目开发及维护；2、跟踪了解产品及技术的发展，不断完善产品；3、收集用户反馈，分析用户行为及需求，对产品进行持续的优化和改进；任职要求：1、2年以上开发经验，熟悉Python语言，使用过django架构；2、拥有良好的代码、文件组织习惯，能够承担一定的工作压力；3、对技术有热情，经常关注新技术趋势；职能类别：ERP技术开发关键字：pythonERPdjangoWeb项目举报分享,广州
8000-15000/月,广州机智云物联网科技有限公司,http://jobs.51job.com/guangzhou-thq/51077705.html?s=0,Python工程师,职位描述：职位说明：1.负责公司 Web 项目以及 REST API 的开发；2.完成数据统计与分析的工作。任职要求：1. 精通 Linux 下 Python Web 开发，有 Django 开发经验优先，有 REST API 开发经验优先；2. 熟悉 MySQL，有 MongoDB 经验优先；3. 熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验优先；4. 有除 Python 外，任一主流语言开发经验（C/C++/C#/Java/PHP等）；5. 有自己的上线 Web 作品经验优先；6. 有 git 使用经验优先；7. 有第三方开放平台 API （如果微博/微信/百度等）使用经验优先。职能类别：软件工程师关键字：PythonWebLinusMongoDBjQueryBootstrap带薪年假加班补助周末双休节日福利举报分享,广州-天河区
8000-15000/月,广州太乙信息科技有限公司,http://jobs.51job.com/guangzhou/77260156.html?s=0,Python高级软件工程师,职位描述：职位描述：工作职责：主要负责系统的开发。职位描述：1、丰富的Python、mySQL开发经验；2、丰富的WEB后端开发经验；3、熟悉Django、 Ansible等框架；4、熟悉Celery、 RabbitMQ、 Kafka；5、有丰富Java 开发经验者从优；6、有大容量、大数据、NoSQL、MapReduce、Hadoop等架构设计和开发经验者从优；7、熟悉WEB前端开发以及有Javascript、Bootstrap开发经验者从优员工福利：1、实行每天7.5小时，每周5天的工作制，工作时间：9：00--18：00；2、五险一金：完善的社会保险，包含养老、医疗、工伤、失业、生育与住房公积金；3、企业年终奖；4、法定公众假期、定期的员工活动；5、其他福利：公司集体旅游；免费咖啡奶茶、水果零食。地址：广州市天河区天河东路153号国德大厦910（太古汇后）乘车路线：地铁三号线石牌桥站、地铁一号线体育中心站、公交天河东路站联系电话：020-87577326 刘小姐职位申请方式：1、通过招聘网站投递简历；2、直接发送简历至hr@mtaiyi.com，邮件主题为：姓名-职位（请将简历粘贴于邮件正文发送）。职能类别：高级软件工程师关键字：PythonmySQLDjangoCeleryNoSQLHadoop举报分享,广州
8000-9999/月,广州市邦富软件有限公司,http://jobs.51job.com/guangzhou-thq/49364484.html?s=0,Python软件工程师,职位描述：1、 根据产品需求，按时完成指定模块的设计与开发。2、 对原有产品进行扩展，并对其进行优化及维护。任职资格:1、 1年以上Python相关开发经验，具有Django 经验者优先。2、 至少开发过一个3个月以上开发周期的Python项目。3、 熟悉Linux及MongoDB优先。4、 具有优秀的团队合作和沟通协作能力，积极上进，学习能力强，理解能力和接受能力好，能承受较大工作压力。公司福利待遇：1、薪酬福利：绩效奖金、五险一金、项目个人（团队）突出贡献奖等。2、工作时间：五天制工作日，8小时/天。3、享受国家法定假期及带薪年假。4、良好的企业文化氛围、融洽的合作团队及温馨的办公环境。5、提供更高更宽的职业平台，广阔的个人发展空间。职能类别：软件工程师举报分享,广州-天河区
4500-5999/月,广州暴雨网络技术有限公司,http://jobs.51job.com/guangzhou-thq/69546409.html?s=0,python服务端开发工程师,职位描述：工作内容：1、根据需求，设计和实现游戏的服务器模块；2、能独立完成编程和单元测试工作；3、编写对应产品的设计开发文档。任职要求：1、计算机相关专业，大专以上学历；2、有Python相关的项目开发经验；3、熟悉MySQL数据库；4、熟悉基本算法和常用数据结构；5、能承受项目压力，独立地完成工作，并具有良好的团队合作能力；6、有游戏相关开发经验优先。职能类别：多媒体/游戏开发工程师关键字：带薪年假全勤奖包三餐立即上岗举报分享,广州-天河区
6000-9000/月,广东昱辉通信技术有限公司,http://jobs.51job.com/guangzhou/76106171.html?s=0,python开发工程师,职位描述：1、1年以上工作经验熟练掌握Python语言，熟悉WSGI、Greenlet等开发技术2、熟悉REST接口的开发3、熟悉RabbitMQ4、懂Linux基本操作5、熟悉mysql的使用6、有项目开发经验优先（如Openstack）公司福利：工作时间：每周5天8小时；薪酬福利：根据各岗位各人才的技能要求，提供富有竞争力的薪酬待遇；社会福利：缴纳五险：养老、医疗、工伤、失业、生育；员工福利：不定期举办员工文娱活动公司，为当月生日员工提供生日礼物，带薪年休假，年度体检；假期安排：享有国家劳动法规定的各种节假日。职能类别：软件工程师关键字：python软件工程师python开发举报分享,广州
8000-9999/月,单车娱乐,http://jobs.51job.com/guangzhou-hzq/70982730.html?s=0,Ruby/Python/Nodejs/PHP服务端,"职位描述：招聘要求：了解Ruby的美与好，愿意加入到Rails大家庭1、一定的服务端开发经验或实习经验，语言不限，欢迎JAVA/PHP/PYTHON各路高手加入2、了解服务端MVC架构思想，知道各种实际问题解决方案，web开***实践者加分3、了解web前端知识, html/css/js 加分4、熟悉git；5、熟悉Linux，能够独立部署服务器应用。6、了解移动互联网API设计规范薪资范围：6k～10k更多信息: https://ruby-china.org/topics/22252职能类别：系统集成工程师关键字：RubyPythonNodejsPHP服务端举报分享",广州-海珠区
8000-15000/月,久邦数码,http://jobs.51job.com/guangzhou-yxq/76419982.html?s=0,"python运维工程师(zabbix,私有云方向)","职位描述：1、精通linux操作系统,熟悉shell及脚本编程，熟练linux常用命令2、熟练使用python3、熟悉TCP/IP协议、网络协议，有良好的网络、安全、存储和计算机体系结构方面的知识4、熟练掌握 Zabbix监控系统5、熟悉linux下常用软件nginx、tomcat 等的使用与调优配置6、熟悉MSSQL/MySQL/mogoDb/memcached/redis等数据库的配置7、熟练掌握至少一种自动化配置工具，如Puppet、Chef等8、熟悉或具有主流IaaS平 台使用经验，如Amazon AWS、阿里云等9、强烈的责任心、良好的沟通和协调能力职能类别：软件工程师举报分享",广州-越秀区
7000-15000/月,广州大象健康科技有限公司,http://jobs.51job.com/guangzhou-thq/73471373.html?s=0,Python开发工程师,"职位描述：职责描述：1. 参与高并发的后台处理系统的需求整理和开发工作2. 负责系统性能优化和改进3. 运用在分布式系统，网络设计及大型存储系统的知识，构建能够满足商业需求的平台，系统及网络基础结构。4. 编写，分析并优化新的算法或数据结构并证明比现有方案更优。职位要求：1.熟悉Python，并具备良好的编程风格，以及能够撰写良好的技术文档；2.深入理解和使用XML, JSON and RESTful Web Services3.熟悉消息组件，NoSQL、PostgreSQL数据库的使用；4.熟悉Linux环境，具备两年以上的linux环境开发经验；5.具备系统架构设计能力，有独立设计开发项目经验者优先；6.有较强的分析问题与独立解决问题的能力，良好的沟通能力及团队合作精神；7.有分布式系统 设计经验者优先。8.有机器学习，数据挖掘，自然语言处理经验者优先职能类别：软件工程师关键字：PythonPostgreSQLNoSQL举报分享",广州-天河区
8000-9999/月,广东亿迅科技有限公司,http://jobs.51job.com/guangzhou-thq/75060478.html?s=0,Python前端开发工程师,职位描述：岗位职责:职位要求：1、一年以上Python开发经验。本科以上学历，专业不限。2、熟悉常用python库，熟悉各种python框架，了解整个python生态环境。了解ubuntu操作系统、有良好的代码规范。3、熟悉django、bootstrap等框架，有网页前端设计经验者优先。4、熟悉Web开发常用技术者优先。职能类别：Web前端开发举报分享,广州-天河区
8000-12000/月,广州元因信息科技有限公司,http://jobs.51job.com/guangzhou-yxq/75121179.html?s=0,Python工程师,职位描述：岗位描述：?1、  Web后台的系统设计、功能开发2、  服务器架构和运维3、  根据设计，实现简洁、健壮、优美、扩展性强的后台4、  撰写程序设计、API等相关技术文档岗位要求：1、计算机相关专业，本科以上学历，有1年以上的Python的开发经验2、熟练掌握Python语言，并使用该语言进行过项目开发3、至少熟悉一种Python Web框架，如Django、Tornado、Flask等4、精通MySQL，精通Linux/Unix及Apache、Ngnix等主流Web服务器的基本配置和进程监控，熟悉常用SHELL命令5、具有良好的代码风格和开发习惯6、 熟悉亚马逊AWS，有过基于AWS的开发经验者优先7、英语能力突出，能够流畅阅读英文文章解决技术难点8、具备较强的逻辑思维能力、自学能力和沟通能力职能类别：网站架构设计师互联网软件开发工程师关键字：后台工程师架构师PythonDjangoFlask举报分享,广州-越秀区
