系统运维工程师,8001-10000,广东网金控股股份有限公司,广州 - 天河区,...python  、  perl  等一种以上脚本编程语言；    4  、熟悉监控系统  nagios  、  cacti  、  zabbix  等监控系统应用；    5  、熟悉  saltstack  、  puppet  、  ansible  使用者优先；    6 ...
数据分析工程师,8001-10000,广东缺钱么网络科技有限公司 ,广州,...Python等脚本语言程序开发经验，具备良好的程序设计能力和习惯；  5、熟悉linux系统、MySQL/MongoDB数据库、网络编程。  6、具备良好的学习能力、分析解决问题能力，自我驱动，能独立承担工作任务。
REDIS开发工程师,面议,文思海辉技术有限公司 Pactera Technology International Limited,广州,...Python等； 4.熟悉MySQL，等数据库的备份，还原，镜像，以及常用的SQL语句，有数据库调优经验优先。  工作经验:三年 学历要求:大专 薪水范围:15000-19999 联系邮箱:PTA_GZ@pactera.com
Web前端开发工程师,10001-15000,易保互联医疗信息科技(北京)有限公司,广州,...Python）开发经验者优先。
数据库开发工程师DBA,面议,广州中广测计量检测技术有限公司,广州,...Python等；  6. 具有团队合作精神，思维清晰，细致耐心，责任心强，能独立完成工作，承受较大工作压力
服务器架构工程师,10001-15000,广东万事泰集团有限公司,广州,...python服务器端开发经验优先  8、有OT硬件云开发经验优先        欢迎符合要求的人员将简历投至我司邮箱：hr03@mastergroup.com.cn  联系电话：0766-2925786       此岗位上班地点：云浮市新兴县（总部），管吃住，可接受均可投递；
固件工程师/软件工程师,10001-15000,广州黑格智能科技有限公司,广州,"岗位要求：    1, 本科，1-3年经验  2，熟悉单片机，python，arduino；  3，有将marlin或sprinter固件移植到STM32 经验，或者对3D打印的marlin或sprinter固件源码较熟悉。      工作内容：   1，与3D打印上位机工程师和下位..."
嵌入式工程师,8001-10000,广州黑格智能科技有限公司,广州 - 天河区,岗位职责：  负责开发3D打印机的控制程序，通过WES控制单片机再控制打印机动作。     技术要求：   本科学历，相关专业；  熟悉WES，C， C++， Python，有单片机开发经历。     薪酬待遇：  6-12K薪酬+包餐+5险；
广告平台技术经理,15001-25000,优游互动有限公司,广州 - 天河区,...Python或C++开发经验  2.熟悉Web编程、网络编程（TCP/HTTP协议），具有linux下编程经验和操作经验  3.具备扎实的计算机理论基础，有良好的数据结构和算法基础  4.熟悉网络编程，具有linux下编程经验和操作经验  5.熟悉Mysql数据库，能根据业务需求...
广告平台工程师（PHP+Linux）,6001-8000,优游互动有限公司,广州 - 天河区,岗位职责：    1.负责移动广告产品功能开发    2.参与移动广告平台的相关算法和模型的开发与优化    3.分析海量数据，为产品运营提供精准有效的数据分析    4.优化流程，打造自动化业务支撑系统    任职资格:    1.两年以上PHP、Python或C++开发经验   ...
广告平台工程师（PHP+Linux）,6001-8000,优游互动有限公司,广州,岗位职责：    1.负责移动广告产品功能开发    2.参与移动广告平台的相关算法和模型的开发与优化    3.分析海量数据，为产品运营提供精准有效的数据分析    4.优化流程，打造自动化业务支撑系统    任职资格:    1.两年以上PHP、Python或C++开发经验   ...
Hadoop Architecture,20001-30000,天睿信科技术（北京）有限公司,广州,1） Hadoop管理经验  2） 主流数据库管理经验  3） Linux和shell使用经验  4） 数据仓库或大数据实施经验  5） 编程经验（java、python、c等）  6） 开源产品的使用及开发经验
python软件开发工程师,面议,广州中国科学院计算机网络信息中心,广州,岗位职责：  LPWAN数据服务端研发。     任职要求：  1、计算机、通讯专业本科以上学历；  2、熟悉linux操作系统；  3、熟练掌握python语言开发；  4、了解通讯系统原理；  5、具有快速学习能力、逻辑思维能力。
Java c#  .net Linux  Python   软件开发实习生,面议,上海云数信息科技有限公司,广州,任职要求：  1.计算机软件相关专业，有一定编程能力.能写ASP.Net访问数据库代码或玩过Linux下C++或Python编程； 2，熟悉常用的数据库，写过SQL脚本（存储过程和函数）； 3，了解数据仓库与BI领域相关知识，有兴趣从事该领域的工作； 4，普通话标准，有良好的沟通能力...
Python实习生,面议,广州中国科学院计算机网络信息中心,广州,岗位职责：  1、根据IP地址，利用网络测试技术进行网络探测和信息抓取；  2、对抓取的信息进行结构化存储、处理、分析。     任职要求：  1、计算机网络技术、网络工程等相关专业，优先考虑在读研究生；  2、熟悉网络技术与协议；  3、了解数据存储、处理与分析工具与技术；  4、有高度的责任心...
python 软件工程师（桌面软件）,10001-15000,广州摩翼信息科技有限公司,广州,岗位职责：     1、参与项目的需求分析；  2、 负责模块的设计、编码、测试以及相关文档的编写；   3、参与系统稳定性、性能和扩展性设计和测试。     任职要求：     1、本科及本科以上学历；  2、 学习能力强，习惯阅读英文技术文档；   3、至少有一年的工作python
python 程序员 python 开发工程师,面议,上海云数信息科技有限公司,广州 - 天河区,任职要求：    一年python经验  有数据库经验  web开发经验优先  待遇 视技术能力，工作年限而定，具体面谈。
Python研发工程师,面议,广州中国科学院计算机网络信息中心,广州,岗位职责：  1、完成服务端程序代码开发及代码审核、质量控制；  2、对所开发的功能进行测试并建立和完善开发文档；  3、持续重构与维护组件保持可用性和稳定性。     任职要求：  1、熟悉面向对象的设计思想，熟悉RESTful web service 规范；  2、熟悉Python
Python,10001-15000,广州励鑫网络科技有限公司,广州,岗位职责：  1、对网站服务器后端开发和维护；  2、对系统架构分析和优化；  3、单元测试、自动化测试、自动部署脚本的编写和维护，开发文档编写。     任职要求：  1、具有3年以上Python开发经验，熟悉Web Server架构；  2、熟悉WSGI规范，深刻理解MVC模式，...
Python开发工程师（创新项目）,面议,广州酷狗计算机科技有限公司,广州 - 天河区,岗位职责：  1、使用python语言进行产品服务端的开发以及维护工作；  2、协助测试团队验证与修复系统中的缺陷；  3、学习与研究新技术以满足新产品的要求。     任职要求：  1、大学以上学历，具有2年以上 python 开发工作经验；  2、能够熟练操作Lin...
Python软件工程师,面议,广州英荔企业管理咨询有限公司,广州 - 天河区,岗位职责：  1. 基于edX开源项目，使用python语言，django框架开发功能；  2. 在线教育网站开发和维护；  3. 按照项目计划，按时提交高质量的代码，完成开发任务；  4. 积极参与工作相关技术的研究；  任职要求：  1. 大专以上学历，1年以上开发经验，一年以上...
Python高级软件工程师,10001-15000,广州英荔企业管理咨询有限公司,广州 - 天河区,岗位职责：  1. 基于edX开源项目，使用python语言，django框架开发功能；  2. 在线教育网站开发和维护；  3. 按照项目计划，按时提交高质量的代码，完成开发任务；  4. 积极参与工作相关技术的研究；  任职要求：  1. 大专以上学历，2年以上开发经验，一年以上...
python 高级工程师,15001-20000,中至科技集团有限公司,广州,岗位职责：  * 组织并参与公司WEB产品开发  * 对公司现有项目进行性能及安全优化  * 参与建设并完善公司内部代码库     职位要求：  1、大专及以上学历，计算机及相关专业毕业。   2、良好的python技术功底，熟悉常用架构模式，熟悉常用算法和数据结构，能够独立开发，有...
python开发工程师,4001-6000,广州市虹联信息技术有限公司,广州 - 天河区,岗位职责：  1.参与无线方案相关的业务分析和设计  2. 参与和协助完成基于Python及相关框架的后台项目开发和维护工作；  3. 参与和协助完成使用Python语言为主的各种技术研究性质的工作；  4. 参与云平台的构建；  5.独立、协作完成重要模块的设计；  ...
Python工程师,面议,广州机智云物联网科技有限公司,广州,职位说明：  1.负责公司 Web 项目以及 REST API 的开发；  2.完成数据统计与分析的工作。   任职要求：  1. 精通 Linux 下 Python Web 开发，有 Django 开发经验优先，有 REST API 开发经验优先；  2. 熟悉 MySQL，有 M...
Ruby/Python/Nodejs/PHP服务端,面议,深圳单车信息科技有限公司,广州,"招聘要求：  了解Ruby的美与好，愿意加入到Rails大家庭 1、一定的服务端开发经验或实习经验，语言不限，欢迎JAVA/PHP/PYTHON各路高手加入 2、了解服务端MVC架构思想，知道各种实际问题解决方案，web开最佳实践者加分 3、了解web前端知识, html/css/j..."
Python中级程序员,面议,广东昱辉通信技术有限公司,广州,任职要求：  1、2年以上工作经验  2、熟练掌握Python语言，熟悉WSGI、Greenlet等开发技术  3、熟悉REST接口的开发  4、熟悉RabbitMQ  5、懂linux基本操作，熟悉各种linux常用命令  6、熟悉mysql的使用  7、有OpenStack开发经...
Python爬虫工程师,6001-8000,广州迪奥信息科技有限公司,广州,岗位职责：   1、网络爬虫开发； 2、网络数据采集问题研究；  任职要求：  1、计算机、信息技术或相关专业本科以上学历； 2、精通Python任意一种编程语言； 2、3年以上网页爬虫开发经验。
Linux运维工程师,4001-6000,北京睿智融科控股有限公司,广州,...python等；  5、熟练掌握nginx、iptables、mysql等linux下常见配置；  6、强烈的责任心，良好的沟通和推动能力；  7、工作地点广州
运维工程师aaad2581,10001-15000,上海有活信息科技有限公司,广州,"...python之一的脚本编程。 6、熟悉常见Web系统架构,有过负载均衡系统架构经验，并具有很强的故障排查和解决问题的能力。 7、工作认真细致、敬业，能承受较大的工作压力。 8、良好的英文阅读能力。"
高级PHP软件工程师,10001-15000,广州安莱信息通信技术有限公司,广州 - 越秀区,"...Python  语言  ,PHP,Javascript,HTML5  中至少一种语言      3  、       精通  SQL  编程  ,  熟悉  Oracle/ DB2/Sybase/Mysql  等某种数据库      4  、       熟悉  Django  ..."
数据分析师,20001-30000,深圳市猎小智网络科技有限公司,广州 - 天河区,...Python，熟悉C++或Java之一；   4、有大规模用户数据处理经验者优先  任职资格：  1、对用户数据进行挖掘和分析，构建用户行为模型，支持业务部门的精细化运营；   2、负责数据挖掘相关业务算法的设计和开发工作。  岗位要求	 1、3年或以上数据挖掘相关工作经验，资深...
Java架构师（猎头岗位）,20001-30000,深圳市汉达森网络科技有限公司,广州,"...Python ；  3、精通主流Web应用开发框架（Spring, Play!, Express, Django, 等等）；熟悉SOA和Web Services（REST, SOAP）系统框架；熟悉主流应用服务器（Tomcat, JBoss, Apache, Nginx, 等）；..."
性能测试工程师,8001-10000,广州虎鱼网络科技有限公司,广州 - 天河区,...python、perl、shell等；  5、工作积极主动，责任心强，具有良好的团队合作精神和较强的抗压能力。
C++服务端程序,面议,三七互娱(上海)科技有限公司,广州,"岗位职责：  要求使用python  【岗位职责】  1、根据策划文档，完成游戏服务器的逻辑模块的开发；  2、实现游戏服务器端应用逻辑的开发；  3、负责数据库结构的设计。     【岗位要求】  1、3年以上游戏服务器开发经验；  2、精通c/c++，STL, 有shell,"
服务器工程师,面议,广州互爱信息科技有限公司,广州 - 天河区,...python； 或能熟练的使用其他动态脚本语言；      4、熟练使用linux下的开发工具；      5、有页游服务器端开发经验者为佳；
运维工程师,8001-10000,广东乐源数字技术有限公司,广州 - 萝岗区,"...Python编程，了解网络基本技术，熟悉TCP/IP协议工作原理；  2、熟悉掌握web相关技术，包括安装apache, nginx,tomcat,jdk,mysql,redis等应用的管理、配置和优化；  3、熟悉Mysql常用管理命令数据导出导入备份，数据库工具使用查询修改表..."
web前端开发工程师,8001-10000,广东德生科技股份有限公司,广州,...python、PHP)；  7、有个人技术博客或者github开源项目加分；  8、有微信平台开发经验者优先。       此岗位一经录用，我们将为您提供以下富有竞争力的薪酬福利待遇：     1 、工作时间：  5  天  7.5  小时工作制，享受国家规定的法定假及福利假（婚...
游戏服务器c++程序员,面议,广州互爱信息科技有限公司,广州 - 天河区,要求：  1. c/c++语言2年以上工作经验 2. 精通lua/php/python一种以上的脚本语言编程 3. 熟悉Linux系统，熟悉linux系统下常用的命令行工具 4. 操作系统，算法功底扎实 5. 计算机相关专业本科以上学历   职责：  1. 游戏服务器端底层框架开发及...
前端开发/前端工程师/web html5前端开发/前端设计/,10001-15000,广州有货信息科技有限公司,广州,"...Python等)；  5、有iphone、ipad、android等智能手机和平板开发经验优先考虑；有JQueryMobile,SenchaTouch,iWebkit等框架使用经验者优先；能够编写符合W3C标准、兼容多种浏览器的前端页面代码，有互联网或中大型业务系统的web产品开..."
算法应用开发工程师,面议,深圳合纵能源技术有限公司,广州 - 南沙区,...Python等平台的算法开发。 （4）基于RTDS/RT_LAB等硬件平台的产品性能验证。 （5）部门总体工作内容为电力/新能源行业的算法应用开发和理论支持，为客户提供基于互联网的能源行业服务。 3、专业知识与技能Professional Knowledge and skill：...
DBA,面议,广州中国科学院计算机网络信息中心,广州,...python、shell  4. 有数据库集群以及高可用部署经验优先  5. 有海量数据存储和应用经验优先  6. 熟悉python web框架，有web开发经验优先  7. 有nosql数据库使用管理经验优先（mongodb）
高级前端工程师,15001-20000,广州虎笑网络科技有限公司,广州,...python等均可）。
hadoop开发工程师 hadoop程序员,8001-10000,上海云数信息科技有限公司,广州 - 天河区,任职要求：   一年以上hadoop经验  有数据库经验  web开发经验优先      熟悉python  django优先
高级PHP开发主管,8001-10000,广州勤加缘科技实业有限公司,广州,...python  3、基于图片比较、个性化推荐（分布式计算）  4、消息队列、web im、app开发、html5开发  5、性能测试与调优、网站安全处理等技术    在这里，我们将与你一起分享：    1.日访问量千万以上平台的服务器处理  2.基于sphinx引擎的站内全文搜索...
前端工程师,10001-15000,广东钱途互联商务服务有限公司,广州,...Python/.Net/Php/Java等）后端编程语言；  6、重视团队协作，愿意探寻和改进目前还不成熟的前端开发流程，了解各种常用工具如：gulp/grunt； git 等；  7、热爱前端技术，个性乐观开朗，逻辑性强，善于和各种背景的人沟通合作；  加分项:会用google...
软件开发与测试工程师,面议,广州开发区人才交流服务中心,广州,...python等，至少掌握一种ui开发框架，如mfc，winform，qt等；      5.有GoogleTest测试框架下编写过单元测试更佳；      6.公司主要使用Visual Studio进行开发；      7.有良好的沟通与协调能力；      8.工作主动性强，愿...
算法工程师,面议,广州中国科学院计算机网络信息中心,广州,"...python。熟悉多维数组，链表和哈希表的使用；  5.熟悉平滑处理，smooth average，和杂波/噪音消除过滤算法；  6.熟悉PKI公钥机制，RSA，DSA，AES，DES加密算法,X.509安全数字证书优先。"
数据分析工程师,面议,广东省通信产业服务有限公司广州分公司,广州 - 天河区,该岗位为电信研究院委托招聘岗位。     岗位职责：参与电信大数据应用系统的运营支撑，完成网络数据的分析处理。项目研发方向主要为网络信息安全、政企大数据产品，以及企业运营与市场分析系统等。  技术能力要求：  1.有一定统计学和数据挖掘算法基础和研究能力.  2.能应用R语言、Python
运维技术工程师,面议,广州六合信息科技有限公司,广州 - 海珠区,...Python语言有一定的了解；  C.熟练使用SQL，熟悉一种或多种主流数据库（oracle、Mysql等）；  D.熟悉shell编程；  E.熟悉自动化测试工具，如LR、QTP等；  F.具备运维经验，熟悉多种运维工具 3. 有良好的沟通能力； 4. 有良好的工作能力和工作主...
云计算工程师,面议,广州中国科学院计算机网络信息中心,广州,工作职责：  1. IaaS平台的部署  2. 对openstack进行定制开发和维护  3. 优化OpenStack集群的架构以及性能     任职要求：  1. 精通python语言  2. 熟悉linux操作系统  3. 熟悉网络和TCP/IP协议，了解和深入协议栈优先。  4...
游戏测试实习生,4001-6000,芜湖达内软件科技有限公司,广州,...python或lua开发经验者尤佳；  - 热爱游戏，愿意在游戏行业一展才华，有丰富游戏经验者尤佳。
爬虫工程师,面议,广州市汇美服装有限公司,广州,"岗位职责： 1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析； 2、负责网页信息抽取、数据清洗等研发和优化工作； 3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； 4、分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进。   任职资格：    1、1年以上工作经验,熟悉..."
Node.js程序员,8001-10000,广州中望龙腾软件股份有限公司,广州 - 天河区,...Python、Ruby、Java、PHP 中的一种。   有以下经验者优先：     1. 有前端设计经验；  2. 熟悉 C/C++ 开发；  3. 有大型web系统开发经验者。
PHP工程师,8001-10000,广州网律互联网科技有限公司,广州 - 天河区,...python、Shell脚本语言优先；
大数据分析工程师,8001-10000,联友科技,广州 - 花都区,...python/shell/java的MapReduce开发实战经验者优先； 4、具有海量数据挖掘及分析相关项目经验，具有汽车行业，互联网分析挖掘经验、文本挖掘经验，微博数据可视化和图片识别经验者优先； 5、具备较强的数据解读能力，业务沟通能力。
大数据开发工程师,8001-10000,联友科技,广州 - 花都区,...Python语言环境下的MapReduce实际开发及部署、调优及维护经验； 3、具有构建及优化基于Hadoop/Hive/Hbase的海量存储产品设计及调优能力，具有数据分析、数据挖掘，文本挖掘、海量数据处理相关经验； 4、有Linux、Unix系统安装维护经验，熟悉常用Linu...
数据分析工程师,面议,广东省通信产业服务有限公司广州分公司,广州 - 天河区,任职要求：        1.有一定统计学和数据挖掘算法基础和研究能力.  2.能应用R语言、Python或Scala编程；  3.了解CDH、Hadoop及Spark的分析组件。 4.具有分析挖掘项目经验或熟悉Scala者优先               学历要求：本科及以上学历 ...
系统运维工程师,面议,广州闪购软件服务有限公司,广州 - 萝岗区,...Python、pupet来实现自动化运维工作。    4、熟悉Linux下MySQL高可用及主从同步的部署和维护。    5、能够熟练排查运维过程中出现的服务故障、系统故障、网络故障。    6、熟悉主流虚拟化及云计算平台的搭建及维护，如openstack/rhev/docker...
软件测试工程师,10001-15000,深圳市汉达森网络科技有限公司,广州 - 天河区,...Python/Ruby/Lua 5.	对软件测试有浓厚的兴趣和丰富的经验，具有结构化思维，有很强的分析能力和定位问题的能力  6.	有很强的质量意识，能严格地遵照测试流程规范
web前端开发,15001-20000,广州金聚网络科技有限公司,广州,...Python/Ruby等），并有一定的实战经验。  5.对可用性、可访问性等相关知识有实际的了解和实践经验。  6.有使用服务器端脚本开发语言开发Web应用的经验。
技术培训生,2001-4000,广州中国科学院计算机网络信息中心,广州 - 南沙区,...python、go语言，有过实际开发经验优先，有海量数据处理经验优先；  4、良好的算法逻辑和分析问题能力，掌握网络通信相关技术，有网络通信开发经验优先；  5、自我驱动，学习能力强，每周至少到岗3天，连续实习3个月以上。  改一下
高级软件工程师,面议,佛山智仁道投资有限公司,广州,"...Python, R等。  -   一定数学建模能力，但不是必要条件  -   对系统架构，数据库有深刻理解  -   良好沟通能力，可以化繁为简"
高级开发工程师,面议,Michael Page,广州,...Python、LinuxShell、Html5、Android、IOS等其它开发语言经验者优先  2. 具有很强的事业心、对工作认真负责、积极主动、有敬业精神，勇于面对困难和接受挑战。具备很强的业务需求分析与系统设计能力  3. 具有丰富的项目前后台开发经验，具备各种技术文档的编...
大数据开发工程师,面议,广东方便物流有限公司佛山分公司,广州,...python/shell等），有大型网站或者数据中心开发经验者优先；  3．	有1－3年大数据或数据仓库项目经验，了解数据仓库相关理论知识，有互联网数据建模分析经验者优先；  4．	熟悉MySQL，有hadoop开发经验优先；有HBase、Hive、Pig、Storm等大数据开发...
Data Analyst,面议,Michael Page,广州,"...python, html5, chart development, Oracle, MySql, MongoDB, etc.   Job Offer  You will obtain a rewarding package, attractive company culture ..."
Senior System Analyst,面议,Michael Page,广州,"...Python scripting language, the independent development of automated operation and maintenance tools.  Proficient in MySQL/MSSQL Server and ..."
云平台工程师,面议,广州亿程交通信息有限公司,广州,岗位职责：  1、负责设计、构建云平台(IAAS平台)；   2、主导系统核心模块的设计和开发；   3、分析并解决云平台开发&运维过程中的问题；     任职要求：  1、能够熟练编程，至少精通C/C++/Ruby/Java/Python之中的一门语言；   2、熟悉SOA...
大数据工程师,面议,广州亿程交通信息有限公司,广州,岗位职责：  1、负责分布式大数据计算系统的架构设计和实现；  2、根据业务需求，完成大数据业务模型构建，数据分析挖掘和可视化展示；     岗位要求：  1、2年以上大数据分析开发和架构设计经验，熟悉Linux/Unix系统，具有shell/perl/python等脚本编码和开发能...
数据库开发工程师（开发DBA）,面议,上海新炬网络技术有限公司,广州,...Python编程能力。  6、有MySQL开发或管理经验优先。  7、责任心强，工作积极主动，具备较强的交流、沟通和表达能力。
高级前端工程师,15001-20000,广东钱途互联商务服务有限公司,广州 - 天河区,...Python/.Net/Php/Java等）后端编程语言；  6. 熟悉模块化/工程化开发，如Require JS/Sea.js，熟悉常见的MV*框架，如Angular JS/Knockout/Backbone/Ember；  7. 熟悉响应式布局，会使用 bootstrap/P...
运维工程师,面议,浪潮集团有限公司 ,广州,...python等任意linux/unix上的脚本语言；  4、有责任心、较强的沟通能力、做事细致、主动性强。     E-mail：fengzhh@inspurworld.com
数据库工程师,8001-10000,广州科韵大数据技术股份有限公司,广州 - 天河区,...Python、Shell 一种或多种脚本语言编程；  7、有Oracle 官方认证如（ OCA，OCP，OCM）等优化；  8、具备一定的数据库系统管理规划思路与文档设计能力。
前端开发工程师,面议,深圳市中博科创信息技术有限公司,广州 - 天河区,...Python/php），并有项目经验优先；
白盒测试工程师,面议,广州酷狗计算机科技有限公司,广州 - 天河区,...Python、Shell；     3、熟悉白盒测试的理论和方法，理解测试驱动开发；     4、熟悉白盒测试工具，如：OCUnit、Junit；     5、熟悉代码走查工具，如：Lint、Jtest、C++test；     6、具备良好的团队意识及创新思维、自我激励能力，善...
高级Java开发工程师(风控方向),面议,广州酷狗计算机科技有限公司,广州 - 天河区,...python，redis，mysql；能够使用常见Linux命令；     5、工作积极主动，有责任心，能够承担压力，并具有很强的分析能力和解决问题的能力，较强的学习能力和沟通能力，具备良好的团队合作精神；     6、了解全文检索的原理及应用；熟悉elastic search开...
高级Linux软件开发工程师(c++方向),面议,广州鼎甲计算机科技有限公司,广州 - 萝岗区,"岗位职责：  1、负责客户端或服务器后台程序的设计与实现     岗位要求：  1、熟练掌握C++语言，gcc/makefile/vi开发环境；  2、熟练掌握网络编程；  3、熟练掌握数据库编程；  4、掌握Shell编程；  5、至少掌握Perl, Python或Ruby等一种脚..."
数据开发工程师,面议,广东现代国际市场研究有限公司,广州 - 越秀区,...Python等脚本语言至少一种。
运维工程师,面议,广州市东域信息科技有限公司,广州,"...python中任一脚本进行自动化部署和监控。  任职要求：  1、熟悉Linux、Windows服务器操作系统的安装、部署和管理维护；   2、熟悉主流网络产品配置（如：cisco huawei）,具有ccna、hcda 资格证书或其他网络厂商认证证书（CA、CE）者优先；   ..."
前端开发工程师,10001-15000,广州市东域信息科技有限公司,广州,...Python等）。  加分项：  1、提供Github账户或个人技术博客，有开源项目参与或开发经验；  2、明白  NodeJS 对于前端开发的意义，有前端构建工具开发或维护经验则更佳；  3、有以下前端框架/工具(同类亦可)使用经验：  GulpJS、KoaJS、Angular...
测试高级工程师（客户端）,15001-20000,广东新思维教育发展有限公司,广州,...Python/Ruby/Javascript/Shell等；  5、善于团队合作，理解和适应变化，以结果和行动为准则，努力追求成功，有团队管理经验者优先。          有意向请 姓名+应聘岗位 附件简历到 yt@paoword.com 方便我们及时跟您联系
网络运维工程师,面议,长安通信科技有限责任公司,广州 - 天河区,...Python/PHP等；  4. 敬业、自信、具有工作热情，能够主动学习；  5、具备良好的团队意识和服务意识，有良好的客户亲和力以及良好的沟通与协调能力；  6、具有Cacti、Nagios等监控工具的使用及二次开发经验优先；  7. 熟悉电信网络、互联网技术者优先考虑；  8...
后台开发工程师(业务运维方向),面议,广州酷狗计算机科技有限公司,广州,...Python、Perl、Shell中一种脚本语言；   6、熟悉Mysql、Redis等；   7、高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心；  8、拥有IT或运营系统开发或运营经验者优先。
Java软件开发工程师,面议,广州食为天信息技术有限公司,广州 - 天河区,...Python/Perl 等脚本编程优先。  9、具有良好的编码习惯，注重代码的复用，关心系统的可维护性和健壮性  10、思维清晰，人品正直诚实，自学能力强，能够独立承受工作压力，愿与公司共同成长。
NodeJS研发工程师,6001-8000,广州美亚电子商务国际旅行社有限公司,广州,...Python开发者优先。     任职要求：  1、大专及以上学历，程序设计相关专业。  2、对javascript语言本身有较为深刻的理解。  3、熟悉Node JS机制，可以独立开发Node JS module者优先。  4、能利用JavaScript完成复杂的页面UI交互，...
测试工程师(创新产品),面议,广州酷狗计算机科技有限公司,广州 - 天河区,...Python/Ruby等一种脚本语言，并具备很强的学习能力和技术钻研、改进能力；  5、 熟悉Android /iPhone/WP7系统，有互联网行业敏捷测试经验、手机开发或手机自动化测试经验者优先；  6、 有自动化测试经验优先；  7、 工作积极主动，执行能力强，努力推进问题...
数据开发工程师(业务运维方向),面议,广州酷狗计算机科技有限公司,广州,...python等脚本开发；   5、了解大数据存储、计算的常用技术；对业界的日志生成系统有了解；    6、熟悉Hadoop等分布式系统；   7、有高度的责任心和团队合作精神，学习能力强，能承受一定的工作压力；   8、有海量数据处理经验者优先，有Map、Reduce或分布式数据...
大数据研究员,面议,广州安正软件股份有限公司,广州 - 天河区,...Python和至少一门脚本语言（包括但不限于：shell、python）
后台开发工程师(创新APP业务),面议,广州酷狗计算机科技有限公司,广州,岗位职责:  1、使用Python语言进行产品服务端的开发以及维护工作；    2、协助测试团队验证与修复系统中的缺陷；   3、学习与研究新技术以满足新产品的要求。      任职要求：   1、2年以上的Linux编程经验；   2、掌握ssh、MySQL、Nginx、Redis...
测试开发工程师(繁星网),面议,广州酷狗计算机科技有限公司,广州 - 天河区,...python模块开发、重构和维护能力；      5、推广能力强，抗压能力好，有足够的耐心去引导和辅助业务测试美女童鞋使用自动化工具者优先；有程序猿情怀、热爱学习、热爱攻城者优先。
业务运维工程师,6001-8000,深圳市中博科创信息技术有限公司,广州 - 天河区,"...python脚本语言；  5、熟练操作oracle,sqlserver,mysql等主流数据库     工作及面试地点：广州天河区天河北路610号金海大厦（也有可能在珠江新城富力中心）"
数据库管理员DBA,面议,广州枫车电子商务有限公司,广州,...python/shell一种或多种脚本语言编程能力。
安全服务工程师,面议,天讯瑞达通信技术有限公司,广州,...python、C、JAVA等任何一门编程语言）；  3、熟悉主流的Web安全技术，包括SQL注入、XSS、CSRF等OWASP TOP 10安全风险；   4、熟练掌握国内外主流安全渗透测试工具，如：Nessus、AWVS、Appscan、Burp Suite等;   5、熟悉主...
系统管理员,8001-10000,广东立信企业有限公司,广州,...python等脚本语言；  熟悉Apache、Nginx 、Tomcat、Jboss、FTP、Mail、数据库等常见服务的配置和维护。     胜任素质：    1.  具有较强的沟通协作能力           2.  诚实守信，责任心强，有较强的抗压能力
测试工程师,8001-10000,北京金山安全管理系统技术有限公司,广州 - 天河区,...Python、PHP等至少一种编程语言；     5、具有良好的沟通表达能力和团队合作精神，要有强烈的责任感和质量意识，能承担一定压力，积极肯学。
自动化测试工程师,面议,广州市玄武无线科技股份有限公司,广州,...Python;  5、对数据库具备一定的理论基础，在以往的工作中，涉及到SQL Server、MySQL、Oracle数据库应用;  6、具有较强的沟通能力、学习能力和团队合作能力。
C++后台高级开发工程师-招聘专项,10001-15000,欢聚时代（多玩YY） ,广州,...Python、PHP、Unix Shell等其中一种以上语言。
H5（前端）中高级开发工程师,15001-20000,广东思埠集团有限公司,广州 - 花都区,...Python/PHP/Java/C++等)；  6、持续学习，乐于分享，有良好的沟通心态，能够推动团队成员向前发展；
算法高级工程师,面议,广州星域信息科技有限公司,广州 - 萝岗区,...python编程；  5. 严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力；  6. 较好的英语读写能力；  7. 熟悉企业运作流程，对CRM和ERP有一定了解。
测试开发工程师,10001-15000,欢聚时代（多玩YY） ,广州,岗位职责:  1.	后台核心服务API测试；   2.	性能测试、压力测试；    3.	开发项目自己需要的测试工具及一些平台对接的代码改造。 机端软件的测试开发工作。   任职资格:  1.	本科以上学历，3年及以上工作经验； 2.	精通c/c++/java/python中某种语言...
运维工程师,6001-8000,广州存货贷科技股份有限公司,广州 - 天河区,岗位职责：  1、对服务器、存储、网络及其他运营设备进行安装、系统调试、维护、故障处理等工作；  2、负责服务器系统的安装调试，如Linux/Windows等；  3、及时按要求撰写工作及技术文档；  4、在运维环境中能熟练使用bash/Perl/python中任一脚本进行自动化部署...
C++后端开发工程师-欢聚云事业部/安全中心,20001-30000,欢聚时代（多玩YY） ,广州,岗位职责:  1、负责系统后台应用服务开发、架构设计及开发；  2、负责对系统的性能和可靠性有较高要求；  3、负责基础组件开发、代码库整理及优化。   任职资格:  1、3年以上Linux编程经验，对互联网有一定的认识，工作细致踏实；  2、熟悉C/C++，熟悉python、she...
