hospitalId,hosName,bigDepartmentSn,hosDeptId,hosGuid,deptName
1026876,南方医科大学肿瘤中心,78,7044136,4C978390B708489298639DE4982A4A76,肝病科
1026876,南方医科大学肿瘤中心,78,7044137,4C978390B708489298639DE4982A4A76,淋巴血液肿瘤
1026876,南方医科大学肿瘤中心,78,7044138,4C978390B708489298639DE4982A4A76,消化肿瘤内科
1026876,南方医科大学肿瘤中心,78,7044139,4C978390B708489298639DE4982A4A76,综合肿瘤内科
1026876,南方医科大学肿瘤中心,78,7044140,4C978390B708489298639DE4982A4A76,胸部肿瘤内科
1026876,南方医科大学肿瘤中心,78,7044321,4C978390B708489298639DE4982A4A76,胸部、乳腺肿瘤
1026876,南方医科大学肿瘤中心,78,7044322,4C978390B708489298639DE4982A4A76,肛肠科
1026876,南方医科大学肿瘤中心,78,7044323,4C978390B708489298639DE4982A4A76,消化系肿瘤外科
1026876,南方医科大学肿瘤中心,78,7044324,4C978390B708489298639DE4982A4A76,泌尿外科
1026876,南方医科大学肿瘤中心,78,7044325,4C978390B708489298639DE4982A4A76,头颈外科
1026876,南方医科大学肿瘤中心,78,7044326,4C978390B708489298639DE4982A4A76,妇瘤科
1026876,南方医科大学肿瘤中心,78,7044327,4C978390B708489298639DE4982A4A76,妇科
1026876,南方医科大学肿瘤中心,78,7044328,4C978390B708489298639DE4982A4A76,眼科
1026876,南方医科大学肿瘤中心,78,7044329,4C978390B708489298639DE4982A4A76,耳鼻喉科
1454,广东省第二人民医院,5,5359,10786E4868234037A044390833D47BBE,生殖医学中心（含男科）
1454,广东省第二人民医院,5,5346,10786E4868234037A044390833D47BBE,产科
1454,广东省第二人民医院,80,5340,10786E4868234037A044390833D47BBE,儿科
1454,广东省第二人民医院,3,7025,10786E4868234037A044390833D47BBE,风湿免疫科
1454,广东省第二人民医院,5,5337,10786E4868234037A044390833D47BBE,妇科
1454,广东省第二人民医院,3,5356,10786E4868234037A044390833D47BBE,呼吸内科
1454,广东省第二人民医院,12,5349,10786E4868234037A044390833D47BBE,口腔科
1454,广东省第二人民医院,3,5355,10786E4868234037A044390833D47BBE,内分泌科
1454,广东省第二人民医院,3,5358,10786E4868234037A044390833D47BBE,神经内科
1454,广东省第二人民医院,4,5344,10786E4868234037A044390833D47BBE,神经外科
1454,广东省第二人民医院,3,5351,10786E4868234037A044390833D47BBE,消化内科
1454,广东省第二人民医院,3,5353,10786E4868234037A044390833D47BBE,心血管内三科
1454,广东省第二人民医院,10,5348,10786E4868234037A044390833D47BBE,眼科
1454,广东省第二人民医院,78,7003611,10786E4868234037A044390833D47BBE,院领导
1454,广东省第二人民医院,50,5350,10786E4868234037A044390833D47BBE,中医科
1454,广东省第二人民医院,5,7016550,10786E4868234037A044390833D47BBE,体检科
1454,广东省第二人民医院,4,7011702,10786E4868234037A044390833D47BBE,普外二科
1454,广东省第二人民医院,3,7011700,10786E4868234037A044390833D47BBE,心血管内二科
1454,广东省第二人民医院,3,7011084,10786E4868234037A044390833D47BBE,心血管内一科
1454,广东省第二人民医院,4,7002712,10786E4868234037A044390833D47BBE,创伤外科
1454,广东省第二人民医院,19,7893,10786E4868234037A044390833D47BBE,肿瘤一科
1454,广东省第二人民医院,81,6196,10786E4868234037A044390833D47BBE,核医学科
1454,广东省第二人民医院,21,6187,10786E4868234037A044390833D47BBE,康复理疗科
1454,广东省第二人民医院,3,6048,10786E4868234037A044390833D47BBE,普通内科
1454,广东省第二人民医院,16,5577,10786E4868234037A044390833D47BBE,感染（三内）科
1454,广东省第二人民医院,14,5360,10786E4868234037A044390833D47BBE,整形科
1454,广东省第二人民医院,78,5354,10786E4868234037A044390833D47BBE,疼痛科
1454,广东省第二人民医院,13,5352,10786E4868234037A044390833D47BBE,皮肤性病科
1454,广东省第二人民医院,11,5347,10786E4868234037A044390833D47BBE,耳鼻咽喉头颈外科
1454,广东省第二人民医院,3,5345,10786E4868234037A044390833D47BBE,肾内科
1454,广东省第二人民医院,4,5343,10786E4868234037A044390833D47BBE,心胸外科
1454,广东省第二人民医院,4,5342,10786E4868234037A044390833D47BBE,泌尿外科
1454,广东省第二人民医院,4,5341,10786E4868234037A044390833D47BBE,普外一科
1454,广东省第二人民医院,3,5339,10786E4868234037A044390833D47BBE,血液科
1454,广东省第二人民医院,4,5338,10786E4868234037A044390833D47BBE,骨科
